O3,SO2,PM25,date,count_total,count_car,count_motorbike,density_total,density_car,density_motorbike,Long,Lat,City
32.88,3.14,32.8,2009OCT,"1,297,524","455,129","842,396","3,527.1","1,264.9","2,262.2",120.6855309,24.14612,Taichung
32.9,3.82,33.8,2009MAY,"699,674","-129,722","829,396","3,012.0",789.3,"2,222.7",120.6855309,24.14612,Taichung
21.88,3.24,35.4,2009FEB,"1,276,288","448,960","827,328","3,466.3","1,245.4","2,220.9",120.6855309,24.14612,Taichung
30.68,3.24,40.2,2008MAR,"1,521,710","527,975","993,735",741.8,257.4,484.4,120.6855309,24.14612,Taichung
39.92,3.26,42,2008APR,"1,521,828","527,813","994,015",741.8,257.3,484.5,120.6855309,24.14612,Taichung
28.56,2.8,37.8,2011MAR,"2,682,896","946,459","1,736,437","1,211.3",427.3,784.0,120.6855309,24.14612,Taichung
29.96,3.86,46.2,2010MAR,"2,621,081","920,834","1,700,247","1,183.4",415.8,767.6,120.6855309,24.14612,Taichung
41.175,3.475,41,2010SEP,"2,669,585","934,073","1,735,512","1,205.3",421.7,783.6,120.6855309,24.14612,Taichung
39.82,4.14,55.4,2010APR,"2,626,047","922,555","1,703,492","1,185.6",416.5,769.1,120.6855309,24.14612,Taichung
21.48,2.48,30.6,2011FEB,"2,695,369","944,677","1,750,692","1,216.9",426.5,790.4,120.6855309,24.14612,Taichung
26.84,3.24,38.2,2011NOV,"2,721,882","963,850","1,758,032","1,228.9",435.2,793.7,120.6855309,24.14612,Taichung
25.22,3.02,21.75,2011JUL,"2,694,959","955,146","1,739,813","1,216.7",431.2,785.5,120.6855309,24.14612,Taichung
40.88,3.24,33.8,2011SEP,"2,711,737","959,542","1,752,195","1,224.3",433.2,791.1,120.6855309,24.14612,Taichung
28.2,3.8,48.6,2009MAR,"1,276,924","449,245","827,680","3,465.9","1,246.4","2,219.5",120.6855309,24.14612,Taichung
24.6,3.04,23.4,2010JUL,"2,650,962","929,970","1,720,992","1,196.9",419.9,777.0,120.6855309,24.14612,Taichung
37.84,3.16,34,2008OCT,"1,532,710","529,587","1,003,123",747.1,258.2,489.0,120.6855309,24.14612,Taichung
21.74,2.56,26.6,2010DEC,"2,684,874","940,472","1,744,402","1,212.2",424.6,787.6,120.6855309,24.14612,Taichung
44.2,3.88,43.6,2008MAY,"1,522,136","527,850","994,286",742.0,257.3,484.7,120.6855309,24.14612,Taichung
28.06,3.4,24.2,2010AUG,"2,657,912","931,044","1,726,868","1,200.0",420.4,779.7,120.6855309,24.14612,Taichung
23.36,3.16,38,2008JAN,"1,519,596","528,668","990,928",740.7,257.7,483.0,120.6855309,24.14612,Taichung
28.14,2.68,27.4,2011AUG,"2,701,055","957,009","1,744,046","1,219.5",432.1,787.4,120.6855309,24.14612,Taichung
38.62,3.68,37,2008SEP,"1,530,611","528,898","1,001,713",746.1,257.8,488.3,120.6855309,24.14612,Taichung
42.5,2.88,35.8,2011OCT,"2,717,420","961,534","1,755,886","1,226.9",434.1,792.8,120.6855309,24.14612,Taichung
31.92,3.02,26.8,2011MAY,"2,682,808","950,046","1,732,762","1,211.3",428.9,782.3,120.6855309,24.14612,Taichung
25.66,3.08,46.8,2010FEB,"2,613,317","918,603","1,694,714","1,179.9",414.7,765.1,120.6855309,24.14612,Taichung
30.98,3.6,27.75,2009AUG,"1,289,470","452,979","836,491","3,501.6","1,257.9","2,243.7",120.6855309,24.14612,Taichung
24.92,3.3,21.6,2010JUN,"2,639,354","926,112","1,713,242","1,191.6",418.1,773.5,120.6855309,24.14612,Taichung
29.16,3.54,29.4,2008AUG,"1,528,619","529,247","999,372",745.1,258.0,487.2,120.6855309,24.14612,Taichung
25.54,4.26,47.2,2009DEC,"1,302,320","457,164","845,156","3,540.1","1,270.5","2,269.7",120.6855309,24.14612,Taichung
32.62,2.76,30.4,2010OCT,"2,675,233","935,805","1,739,428","1,207.8",422.5,785.3,120.6855309,24.14612,Taichung
22.8,2.42,26.75,2011JAN,"2,691,248","944,078","1,747,170","1,215.1",426.2,788.8,120.6855309,24.14612,Taichung
29.14,3.1,27.4,2009SEP,"1,294,282","454,054","840,228","3,517.1","1,261.6","2,255.5",120.6855309,24.14612,Taichung
23.82,3.12,20.4,2009JUL,"1,286,740","452,388","834,352","3,492.5","1,256.3","2,236.1",120.6855309,24.14612,Taichung
27.04,3.16,39,2009NOV,"1,300,205","456,271","843,934","3,535.1","1,268.1","2,267.0",120.6855309,24.14612,Taichung
21,2.98,19.8,2009JUN,"1,282,382","451,279","831,103","3,479.6","1,252.6","2,227.1",120.6855309,24.14612,Taichung
29.78,3.38,36.4,2009APR,"1,277,434","449,352","828,082","3,466.0","1,246.2","2,219.9",120.6855309,24.14612,Taichung
21.26,3.1,27,2010JAN,"2,612,225","918,755","1,693,470","1,179.4",414.8,764.6,120.6855309,24.14612,Taichung
22.62,3.68,23.8,2008JUL,"1,526,411","528,768","997,643",744.1,257.8,486.3,120.6855309,24.14612,Taichung
32.12,3.42,32.2,2010MAY,"2,631,494","924,022","1,707,472","1,188.1",417.2,770.9,120.6855309,24.14612,Taichung
21.04,3.76,40.6,2009JAN,"1,275,805","448,569","827,236","3,465.8","1,243.7","2,222.1",120.6855309,24.14612,Taichung
23.52,4.24,46.6,2008DEC,"1,540,338","531,938","1,008,400",750.9,259.3,491.6,120.6855309,24.14612,Taichung
