"city","football","baseball","basketball","hockey","average","lat","long"
"Boston",1,0.481,0.556,0.5,0.634,42.360082,-71.05888
"Phoenix",0.778,0.488,0.556,0.529,0.588,33.448377,-112.074037
"Minneapolis",0.778,0.512,0.4,0.625,0.579,44.977753,-93.265011
"Chicago",0.444,0.512,0.667,0.555,0.55,41.878114,-87.629798
"Washington DC",0.444,0.512,0.5,0.688,0.536,38.907192,-77.036871
"Denver",0.778,0.42,0.5,0.412,0.528,39.739236,-104.990251
"New York",0.526,0.546,0.286,0.639,0.499,40.712784,-74.005941
"Miami",0.444,0.438,0.667,0.412,0.49,25.76168,-80.19179
"Detroit",0.222,0.46,0.5,0.471,0.413,42.331427,-83.045754
"Philadelphia",0.444,0.389,0,0.353,0.297,39.952584,-75.165222
