city,salary,pct,rankSalary,rankPct
Cleveland,110237822,0.708,1,3
Oklahoma City,99192910,0.667,2,4
LA Clippers,94894047,0.571,3,11
Miami,91236835,0.6,4,7
Brooklyn,90631130,0.269,5,27
Chicago,88996562,0.6,6,7
San Antonio,87118521,0.821,7,2
Detroit,85861800,0.571,8,11
Houston,84821156,0.5,9,17
Washington,81427992,0.44,10,19
New Orleans,81112812,0.269,11,27
Golden State,78911842,0.963,12,1
Boston,77529454,0.519,13,15
Charlotte,74940487,0.577,14,9
Milwaukee,74510912,0.357,15,26
Dallas,74292745,0.556,16,14
Phoenix,74257446,0.429,17,21
New York,72342156,0.5,18,17
LA Lakers,71644166,0.148,19,29
Toronto,71015710,0.607,20,6
Atlanta,70225093,0.571,21,11
Indiana,69895117,0.615,22,5
Sacramento,69111373,0.385,23,24
Minnesota,68545794,0.385,24,24
Orlando,68110001,0.577,25,9
Denver,66926877,0.423,26,22
Memphis,62120136,0.517,27,16
Utah,60171817,0.44,28,19
Philadelphia,57293391,0.036,29,30
Portland,40462886,0.393,30,23
