new_ph_name,net_amtc,store,dept,work_date,type_yr
01 Luxuries,952249,01 Store A,Dept 2,2014/03/01,Last Year
01 Luxuries,931945,01 Store A,Dept 2,2014/03/02,Last Year
01 Luxuries,375586,01 Store A,Dept 2,2014/03/03,Last Year
01 Luxuries,566536,01 Store A,Dept 2,2014/03/04,Last Year
01 Luxuries,556434,01 Store A,Dept 2,2014/03/05,Last Year
01 Luxuries,756748,01 Store A,Dept 2,2014/03/06,Last Year
01 Luxuries,979014,01 Store A,Dept 2,2014/03/07,Last Year
01 Luxuries,629849,01 Store A,Dept 2,2014/03/08,Last Year
01 Luxuries,516955,01 Store A,Dept 2,2014/03/09,Last Year
01 Luxuries,714131,01 Store A,Dept 2,2014/03/10,Last Year
01 Luxuries,299585,01 Store A,Dept 2,2014/03/11,Last Year
01 Luxuries,403849,01 Store A,Dept 2,2014/03/12,Last Year
01 Luxuries,593305,01 Store A,Dept 2,2014/03/13,Last Year
01 Luxuries,741664,01 Store A,Dept 2,2014/03/14,Last Year
01 Luxuries,940605,01 Store A,Dept 2,2014/03/15,Last Year
01 Luxuries,731803,01 Store A,Dept 2,2014/03/16,Last Year
01 Luxuries,425599,01 Store A,Dept 2,2014/03/17,Last Year
01 Luxuries,238746,01 Store A,Dept 2,2014/03/18,Last Year
01 Luxuries,380610,01 Store A,Dept 2,2014/03/19,Last Year
01 Luxuries,449035,01 Store A,Dept 2,2014/03/20,Last Year
01 Luxuries,352325,01 Store A,Dept 2,2014/03/21,Last Year
01 Luxuries,600781,01 Store A,Dept 2,2014/03/22,Last Year
01 Luxuries,594891,01 Store A,Dept 2,2014/03/23,Last Year
01 Luxuries,500981,01 Store A,Dept 2,2014/03/24,Last Year
01 Luxuries,167241,01 Store A,Dept 2,2014/03/25,Last Year
01 Luxuries,368228,01 Store A,Dept 2,2014/03/26,Last Year
01 Luxuries,446676,01 Store A,Dept 2,2014/03/27,Last Year
01 Luxuries,676138,01 Store A,Dept 2,2014/03/28,Last Year
01 Luxuries,847680,01 Store A,Dept 2,2014/03/29,Last Year
01 Luxuries,283239,01 Store A,Dept 2,2014/03/30,Last Year
01 Luxuries,261714,01 Store A,Dept 2,2014/03/31,Last Year
01 Luxuries,453712,01 Store A,Dept 2,2014/04/01,Last Year
01 Luxuries,248702,01 Store A,Dept 2,2014/04/02,Last Year
01 Luxuries,179506,01 Store A,Dept 2,2014/04/03,Last Year
01 Luxuries,152476,01 Store A,Dept 2,2014/04/04,Last Year
01 Luxuries,376356,01 Store A,Dept 2,2014/04/05,Last Year
01 Luxuries,484498,01 Store A,Dept 2,2014/04/06,Last Year
01 Luxuries,432516,01 Store A,Dept 2,2014/04/07,Last Year
01 Luxuries,302006,01 Store A,Dept 2,2014/04/08,Last Year
01 Luxuries,135859,01 Store A,Dept 2,2014/04/09,Last Year
01 Luxuries,453877,01 Store A,Dept 2,2014/04/10,Last Year
01 Luxuries,207980,01 Store A,Dept 2,2014/04/11,Last Year
01 Luxuries,261696,01 Store A,Dept 2,2014/04/12,Last Year
01 Luxuries,130829,01 Store A,Dept 2,2014/04/13,Last Year
