"Date","Time..Local.","Eyeballs","Zeroes","Completed.Trips","Requests","Unique.Drivers","weekDay","weekend","peakHour"
2012-09-10,7,5,0,2,2,9,"Monday","Weekdays","Normal"
2012-09-10,8,6,0,2,2,14,"Monday","Weekdays","Normal"
2012-09-10,9,8,3,0,0,14,"Monday","Weekdays","Normal"
2012-09-10,10,9,2,0,1,14,"Monday","Weekdays","Normal"
2012-09-10,11,11,1,4,4,11,"Monday","Weekdays","Normal"
2012-09-10,12,12,0,2,2,11,"Monday","Weekdays","Normal"
2012-09-10,13,9,1,0,0,9,"Monday","Weekdays","Normal"
2012-09-10,14,12,1,0,0,9,"Monday","Weekdays","Normal"
2012-09-10,15,11,2,1,2,7,"Monday","Weekdays","Normal"
2012-09-10,16,11,2,3,4,6,"Monday","Weekdays","Normal"
2012-09-10,17,12,2,3,4,4,"Monday","Weekdays","Peak"
2012-09-10,18,11,1,3,4,7,"Monday","Weekdays","Peak"
2012-09-10,19,13,2,2,3,7,"Monday","Weekdays","Peak"
2012-09-10,20,11,1,0,0,5,"Monday","Weekdays","Peak"
2012-09-10,21,11,0,1,1,3,"Monday","Weekdays","Peak"
2012-09-10,22,16,3,0,2,4,"Monday","Weekdays","Peak"
2012-09-10,23,21,5,3,3,4,"Monday","Weekdays","Peak"
2012-09-11,0,9,3,1,1,3,"Tuesday","Weekdays","Peak"
2012-09-11,1,3,2,0,1,3,"Tuesday","Weekdays","Peak"
2012-09-11,2,1,1,0,0,1,"Tuesday","Weekdays","Peak"
2012-09-11,3,1,1,0,0,1,"Tuesday","Weekdays","Normal"
2012-09-11,4,1,1,0,0,1,"Tuesday","Weekdays","Normal"
2012-09-11,5,1,1,0,0,0,"Tuesday","Weekdays","Normal"
2012-09-11,6,7,3,2,3,3,"Tuesday","Weekdays","Normal"
2012-09-11,7,10,0,2,2,5,"Tuesday","Weekdays","Normal"
2012-09-11,8,11,2,0,0,6,"Tuesday","Weekdays","Normal"
2012-09-11,9,15,2,0,0,6,"Tuesday","Weekdays","Normal"
2012-09-11,10,12,1,1,1,8,"Tuesday","Weekdays","Normal"
2012-09-11,11,16,1,0,0,9,"Tuesday","Weekdays","Normal"
2012-09-11,12,5,1,0,0,8,"Tuesday","Weekdays","Normal"
2012-09-11,13,11,2,1,1,7,"Tuesday","Weekdays","Normal"
2012-09-11,14,19,1,1,2,5,"Tuesday","Weekdays","Normal"
2012-09-11,15,19,1,2,2,9,"Tuesday","Weekdays","Normal"
2012-09-11,16,19,3,1,1,7,"Tuesday","Weekdays","Normal"
2012-09-11,17,23,5,0,0,9,"Tuesday","Weekdays","Peak"
2012-09-11,18,21,1,7,8,11,"Tuesday","Weekdays","Peak"
2012-09-11,19,28,2,8,9,12,"Tuesday","Weekdays","Peak"
2012-09-11,20,22,2,7,7,10,"Tuesday","Weekdays","Peak"
2012-09-11,21,19,6,5,5,5,"Tuesday","Weekdays","Peak"
2012-09-11,22,26,10,2,6,2,"Tuesday","Weekdays","Peak"
2012-09-11,23,15,12,0,3,1,"Tuesday","Weekdays","Peak"
2012-09-12,0,9,2,0,1,2,"Wednesday","Weekdays","Peak"
2012-09-12,1,6,0,1,1,2,"Wednesday","Weekdays","Peak"
2012-09-12,2,3,3,0,1,0,"Wednesday","Weekdays","Peak"
2012-09-12,3,2,2,0,0,0,"Wednesday","Weekdays","Normal"
2012-09-12,4,1,1,0,0,0,"Wednesday","Weekdays","Normal"
2012-09-12,5,1,1,0,1,1,"Wednesday","Weekdays","Normal"
2012-09-12,6,7,2,3,4,3,"Wednesday","Weekdays","Normal"
